old_id,name,usage_count,category_major,category_sub,drop_type,reason
12301,開水,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12302,皮馄饨皮,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12303,定量干辣椒,3,蔬菜类及其制品,蔬菜,seasoning,调味料不进入基础原生食材表
12304,皮面,3,其他,烘焙与加工食品,junk,不属于指南允许的基础原生食材类别
12305,食欲,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12306,熟毛豆,3,干豆类及其制品,豆制品,processed,成品、半成品或加工食品
12309,各种奶酪,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12310,辣酸菜,3,蔬菜类及其制品,蔬菜,processed,成品、半成品或加工食品
12311,脆谷乐,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12312,汤碗开水,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12314,准备面包糠,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12316,子面皮,3,其他,烘焙与加工食品,junk,不属于指南允许的基础原生食材类别
12320,食色粉,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12322,包可可粉,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12323,刀切,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12325,各种调味品,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12326,蒜干辣椒,3,蔬菜类及其制品,蔬菜,seasoning,调味料不进入基础原生食材表
12328,腌肉粉,3,畜肉类及其制品,畜肉,processed,加工肉制品
12329,百奇饼干,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12333,牛奶味桃山皮,3,其他,烘焙与加工食品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12334,比萨底,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12335,和熟芝麻,3,坚果种子类,坚果种子,processed,成品、半成品或加工食品
12336,蜜汁料,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12337,白干子,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12338,韭菜一把,3,蔬菜类及其制品,蔬菜,junk,数量或单位残留且无法可靠恢复原食材
12340,蛋黄牛奶,3,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12345,火候,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
