id,name,ingredient_type,core_ingredient_id,category,subcategory,is_core_raw,is_edible,review_status,usage_count,reason
1669,净澳牛牛腱,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1670,净米饭,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1671,准备碗调制料汁儿,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1672,凉开水,other_food,,扩展食材,other_food,0,1,review,4,菜谱实际使用名称，待进一步规范
1673,凉开水清水,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1674,凉水或冰水,composite,,扩展食材,composite,0,1,review,1,疑似复合名称，组成未完全确认
1675,凉白开,other_food,,扩展食材,other_food,0,1,review,6,菜谱实际使用名称，待进一步规范
1676,凉白开水,other_food,,扩展食材,other_food,0,1,review,2,菜谱实际使用名称，待进一步规范
1677,凉皮,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1678,凉粉,other_food,,扩展食材,other_food,0,1,review,2,菜谱实际使用名称，待进一步规范
1679,减盐生抽,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1680,减脂重点水飞蓟油,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1681,几个油面筋,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1682,几个砂仁,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1683,几个糕鱿/吹筒仔,composite,,扩展食材,composite,0,1,review,1,疑似复合名称，组成未完全确认
1684,几个蘑菇,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1685,几个虾头,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1686,几个都可以鸡蛋,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1687,几个青红椒,composite,,扩展食材,composite,0,1,verified,1,明确多食材组合，组成见桥接表
1688,几克盐,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1689,几克胡椒粉,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1690,几克葱花,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1691,几克面粉,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1692,几勺蚝油,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1693,几块克冰糖,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1694,几块冰糖,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1695,几块泡白萝卜,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1696,几块豆腐,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1697,几块都行洋葱块,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1698,几小块火腿,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1699,几小段葱,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1700,几小片切碎姜,non_food,,扩展食材,non_food,0,0,review,1,疑似工具、包装或操作说明
1701,几把生花生米,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1702,几木耳,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1703,几朵,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1704,几朵嫩芽迷迭香,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1705,几朵平菇,other_food,,扩展食材,other_food,0,1,review,3,菜谱实际使用名称，待进一步规范
1706,几朵木耳,other_food,,扩展食材,other_food,0,1,review,3,菜谱实际使用名称，待进一步规范
1707,几朵菜花,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1708,几朵西兰花,other_food,,扩展食材,other_food,0,1,review,2,菜谱实际使用名称，待进一步规范
1709,几朵香菇,other_food,,扩展食材,other_food,0,1,review,4,菜谱实际使用名称，待进一步规范
1710,几朵黑木耳,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1711,几条金针,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1712,几条😆😂莴笋丝,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1713,几棵小白菜,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1714,几段大葱,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1715,几段葱,other_food,,扩展食材,other_food,0,1,review,2,菜谱实际使用名称，待进一步规范
1716,几段葱段,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1717,几滴即可香油,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1718,几滴料酒,seasoning,,扩展食材,seasoning,0,1,verified,2,调味料
1719,几滴柠檬汁,seasoning,,扩展食材,seasoning,0,1,verified,2,调味料
1720,几滴柠檬汁或者白醋,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1721,几滴橄榄油,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1722,几滴油,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1723,几滴生抽,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1724,几滴白酒,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1725,几滴白醋,seasoning,,扩展食材,seasoning,0,1,verified,2,调味料
1726,几滴老抽,seasoning,,扩展食材,seasoning,0,1,verified,6,调味料
1727,几滴芝麻油,seasoning,,扩展食材,seasoning,0,1,verified,2,调味料
1728,几滴芝麻香油,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1729,几滴葡萄籽油,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1730,几滴酱油,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1731,几滴醋,seasoning,,扩展食材,seasoning,0,1,verified,10,调味料
1732,几滴香油,seasoning,,扩展食材,seasoning,0,1,verified,20,调味料
1733,几滴香油或核桃油,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1734,几滴香醋,seasoning,,扩展食材,seasoning,0,1,verified,3,调味料
1735,几滴麻油,seasoning,,扩展食材,seasoning,0,1,verified,3,调味料
1736,几点麻油,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1737,几瓣大蒜,other_food,,扩展食材,other_food,0,1,review,3,菜谱实际使用名称，待进一步规范
1738,几瓣蒜,other_food,,扩展食材,other_food,0,1,review,10,菜谱实际使用名称，待进一步规范
1739,几瓣蒜瓣,other_food,,扩展食材,other_food,0,1,review,2,菜谱实际使用名称，待进一步规范
1740,几粒冰糖,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1741,几粒味精,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1742,几粒干花椒,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1743,几粒干贝,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1744,几粒枸杞,other_food,,扩展食材,other_food,0,1,review,3,菜谱实际使用名称，待进一步规范
1745,几粒毛豆仁,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1746,几粒玉米粒,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1747,几粒瑶柱,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1748,几粒花椒,seasoning,,扩展食材,seasoning,0,1,verified,7,调味料
1749,几花椒,other_food,,扩展食材,other_food,0,1,review,2,菜谱实际使用名称，待进一步规范
1750,几颗干花椒,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1751,几颗粒花椒,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1752,几颗红枣,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1753,几颗花椒,seasoning,,扩展食材,seasoning,0,1,verified,2,调味料
1754,几颗野山椒,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1755,凤尾,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1756,凤尾菇,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1757,凤爪,other_food,,扩展食材,other_food,0,1,review,2,菜谱实际使用名称，待进一步规范
1758,凭个人喜好老干妈,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1759,凭感觉盐,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1760,凭自己手感,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1761,凯瑞奶油奶酪,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1762,出锅前按个人口味放盐,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1763,出锅前调味盐,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1764,刀削面,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1765,刀背拍碎大蒜头,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1766,分之十三香,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1767,分之柠檬,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1768,分之洋葱,other_food,,扩展食材,other_food,0,1,review,3,菜谱实际使用名称，待进一步规范
1769,分之胡萝卜,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1770,分之荞麦面,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1771,分之葱,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1772,分之辣椒仔,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1773,分之酸萝卜,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1774,分之鸡精,other_food,,扩展食材,other_food,0,1,review,3,菜谱实际使用名称，待进一步规范
1775,分之鸡胸肉,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1776,分装黄油,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1777,分钟时间,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1778,分面条,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1779,切丁二荆条,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1780,切丁琵琶腿,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1781,切丝姜,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1782,切几片没可以不要蒜,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1783,切圈小米辣,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1784,切块紫薯,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1785,切大块鱼翅瓜,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1786,切好南瓜,non_food,,扩展食材,non_food,0,0,review,1,疑似工具、包装或操作说明
1787,切小丁青椒或甜椒,composite,,扩展食材,composite,0,1,review,1,疑似复合名称，组成未完全确认
1788,切小块南瓜,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1789,切小块土豆,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1790,切小块红薯,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1791,切小葱葱花,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1792,切开香菇干冬菇泡软,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1793,切成丁葱,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1794,切成丝姜,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
