id,original_name,cleaned_name,changed,rules
125206,番茄菜花,番茄菜花,0,未修改
125238,春笋韭菜肉丝小炒,春笋韭菜肉丝小炒,0,未修改
125331,牛肉炖萝卜丝,牛肉炖萝卜丝,0,未修改
125368,葱油蒜烧小排,葱油蒜烧小排,0,未修改
125409,千张包,千张包,0,未修改
125424,大蒜叶炒土鸡蛋-简单易做又好吃的素菜，快点来！,大蒜叶炒土鸡蛋-简单易做又好吃的素菜,1,删除宣传后句
125455,低脂低卡好吃不胖营养美味家常番茄炒金针菇,低卡好吃不胖营养美味家常番茄炒金针菇,1,删除营销定语
125466,过桥豆腐,过桥豆腐,0,未修改
125490,家常小炒,家常小炒,0,未修改
125523,风味黄骨鱼,风味黄骨鱼,0,未修改
125572,能吃三碗饭的水豆豉拌香菜,能吃三碗饭的水豆豉拌香菜,0,未修改
125577,番茄🍅甘蓝炒粉条/减肥代餐/清淡下饭菜,番茄甘蓝炒粉条/减肥代餐/清淡下饭菜,1,删除装饰符号
125583,家常版醋溜大白菜,醋溜大白菜,1,删除场景定语
125588,超级简易版蒜蓉蒸丝瓜,简易版蒜蓉蒸丝瓜,1,删除营销定语
125604,番茄鲫鱼豆腐汤,番茄鲫鱼豆腐汤,0,未修改
125620,【彼得海鲜】快手菜家常菜减肥餐之森林小炒,彼得海鲜 快手菜家常菜减肥餐之森林小炒,1,展开标题方括号
125623,青椒肉片,青椒肉片,0,未修改
125642,湘味小炒花菜,湘味小炒花菜,0,未修改
125643,拔丝地瓜,拔丝地瓜,0,未修改
125654,蒜黄炒鸡蛋,蒜黄炒鸡蛋,0,未修改
125674,简单的丝瓜鸡蛋汤,丝瓜鸡蛋汤,1,删除营销定语
125678,冬笋炒肉,冬笋炒肉,0,未修改
125744,豆腐烧鸭血,豆腐烧鸭血,0,未修改
125784,蒸马兰头（蒸野菜）,蒸马兰头,1,删除括号说明
125794,笋丝老鸭汤,笋丝老鸭汤,0,未修改
125850,私房【泡菜牛肉丝】酸辣开胃菜·🔥不要太下饭哦！,私房【泡菜牛肉丝】酸辣开胃菜·不要太下饭哦,1,删除宣传后句；删除装饰符号
125915,荷兰豆炒香菇,荷兰豆炒香菇,0,未修改
125924,红油腐竹,红油腐竹,0,未修改
125932,姜葱焖太阳鱼,姜葱焖太阳鱼,0,未修改
125951,干锅香辣虾,干锅香辣虾,0,未修改
125974,南瓜炖粉条（无油无盐菜）（无味斋）,南瓜炖粉条,1,删除括号说明
125977,酱焖茄子仔,酱焖茄子仔,0,未修改
