old_id,name,usage_count,category_major,possible_candidates,sample_raw_text,sample_dish_ids,reason
719,全麦,24,谷类及其制品,,120克全麦 || 55克全麦 || 50克全麦(鲍勃红磨坊),11901|25763|41317,名称过于宽泛或形态含义不明确，禁止猜测映射
725,蝴蝶面,24,谷类及其制品,,适量蝴蝶面 || 一把蝴蝶面 || 80g蝴蝶面,7512|17318|24206|28956,可能是原生食材，但频次、命名或类别证据不足
732,刀削面,24,谷类及其制品,,两人份刀削面 || 一人份新鲜刀削面 || 刀削面150克,6830|9189|11671,可能是原生食材，但频次、命名或类别证据不足
770,藕片,23,薯类淀粉及其制品,藕,适量藕片 || 若干藕片 || 1根藕片,354|2904|4172,形态描述存在，但原始食材无法确定
782,前腿肉,23,禽肉类及其制品,,1000克前腿肉 || 10斤前腿肉 || 200g前腿肉,2723|6536|15776,名称过于宽泛或形态含义不明确，禁止猜测映射
784,混合香草,23,蔬菜类及其制品,,5勺混合香草 || 1小勺（可选）混合香草 || 适量混合香草,6001|47935|60358,可能是原生食材，但频次、命名或类别证据不足
789,果肉,23,畜肉类及其制品,,130果肉 || 200克果肉,34970|145667,名称过于宽泛或形态含义不明确，禁止猜测映射
791,鱼头,22,鱼虾蟹贝类,,个鱼头            1 || 1个鱼头 || 鱼头,475|2774|2918,名称过于宽泛或形态含义不明确，禁止猜测映射
798,各类蔬菜,22,蔬菜类及其制品,,适量各类蔬菜（见图） || 适量各类蔬菜 || 各类蔬菜，火腿，培根，玉米粒随便放,8490|26307|93680,名称过于宽泛或形态含义不明确，禁止猜测映射
826,宽面,22,谷类及其制品,,150g宽面 || 250克新鲜宽面 || 适量宽面,5644|21360|32976,可能是原生食材，但频次、命名或类别证据不足
827,香菜葱,22,蔬菜类及其制品,香菜|葱,适量香菜  葱 || 适量香菜 葱 || 适量香菜葱,85430|107547|111487,明确包含多个独立食材；关系保守保留原文，克数不拆分
830,大小姜,22,蔬菜类及其制品,,,,名称过于宽泛或形态含义不明确，禁止猜测映射
832,绿叶蔬菜,21,蔬菜类及其制品,,1把绿叶蔬菜（菠菜/油菜） || 适量绿叶蔬菜 || 30克绿叶蔬菜,121|10386|19480,名称过于宽泛或形态含义不明确，禁止猜测映射
842,黑全麦粉,21,谷类及其制品,,50克黑全麦粉 || 100克黑全麦粉 || 500克黑全麦粉,5950|6414|10733,可能是原生食材，但频次、命名或类别证据不足
846,豆类,21,干豆类及其制品,,适量豆类 || 豆类 || 豆类（鹰嘴豆个人觉得最好吃）,19726|60016|61248|125549,名称过于宽泛或形态含义不明确，禁止猜测映射
848,豆制品,21,干豆类及其制品,,适量豆制品 || 豆制品 || 随意豆制品,23443|91054|92528|96359,名称过于宽泛或形态含义不明确，禁止猜测映射
852,黑芝麻馅,21,坚果种子类,,黑芝麻馅 || 100g黑芝麻馅 || #黑芝麻馅（三个）,853|64779|88256,可能是原生食材，但频次、命名或类别证据不足
858,水果麦片,21,谷类及其制品,水果麦,50克水果麦片 || 120克水果麦片 || 若干水果麦片,10222|14939|41360,形态描述存在，但原始食材无法确定
868,冷面,21,谷类及其制品,,冷面 || 1张冷面（含酱料） || 5块钱的冷面,5338|8925|8984,可能是原生食材，但频次、命名或类别证据不足
