alias_name,catalog_ingredient_id,canonical_name,usage_count,source
⭐️煮饭⭐️,785,⭐️煮饭⭐️,1,dish_ingredients.raw_name
「喜欢吃多几个也可以」牛肉丸,786,「喜欢吃多几个也可以」牛肉丸,1,dish_ingredients.raw_name
「根据自己咸淡定味」食盐,787,「根据自己咸淡定味」食盐,1,dish_ingredients.raw_name
一丁点五香粉,788,一丁点五香粉,1,dish_ingredients.raw_name
一丁点胡椒粉,789,一丁点胡椒粉,1,dish_ingredients.raw_name
一丁点醋,790,一丁点醋,1,dish_ingredients.raw_name
一丢丢,791,一丢丢,1,dish_ingredients.raw_name
一丢丢五香粉,792,一丢丢五香粉,1,dish_ingredients.raw_name
一丢丢克猪肉,793,一丢丢克猪肉,1,dish_ingredients.raw_name
一丢丢克盐,794,一丢丢克盐,1,dish_ingredients.raw_name
一丢丢勺鸡精,795,一丢丢勺鸡精,1,dish_ingredients.raw_name
一丢丢十三香,796,一丢丢十三香,1,dish_ingredients.raw_name
一丢丢味达美,797,一丢丢味达美,1,dish_ingredients.raw_name
一丢丢小苏打粉,798,一丢丢小苏打粉,1,dish_ingredients.raw_name
一丢丢小茴香,799,一丢丢小茴香,1,dish_ingredients.raw_name
一丢丢干淀粉,800,一丢丢干淀粉,1,dish_ingredients.raw_name
一丢丢提鲜糖,801,一丢丢提鲜糖,1,dish_ingredients.raw_name
一丢丢料酒,802,一丢丢料酒,1,dish_ingredients.raw_name
一丢丢椰子粉,803,一丢丢椰子粉,1,dish_ingredients.raw_name
一丢丢水,804,一丢丢水,1,dish_ingredients.raw_name
一丢丢生抽,805,一丢丢生抽,1,dish_ingredients.raw_name
一丢丢白糖,806,一丢丢白糖,6,dish_ingredients.raw_name
一丢丢盐,807,一丢丢盐,12,dish_ingredients.raw_name
一丢丢米酒,808,一丢丢米酒,1,dish_ingredients.raw_name
一丢丢米醋,809,一丢丢米醋,1,dish_ingredients.raw_name
一丢丢糖,810,一丢丢糖,7,dish_ingredients.raw_name
一丢丢老抽,811,一丢丢老抽,4,dish_ingredients.raw_name
一丢丢耗油,812,一丢丢耗油,3,dish_ingredients.raw_name
一丢丢胡椒粉,813,一丢丢胡椒粉,2,dish_ingredients.raw_name
一丢丢胡萝卜,814,一丢丢胡萝卜,1,dish_ingredients.raw_name
一丢丢芝麻油,815,一丢丢芝麻油,1,dish_ingredients.raw_name
一丢丢葱,816,一丢丢葱,2,dish_ingredients.raw_name
一丢丢蒜沫沫,817,一丢丢蒜沫沫,1,dish_ingredients.raw_name
一丢丢蒜瓣,818,一丢丢蒜瓣,1,dish_ingredients.raw_name
一丢丢酱油,819,一丢丢酱油,1,dish_ingredients.raw_name
一丢丢醋/柠檬汁,820,一丢丢醋/柠檬汁,1,dish_ingredients.raw_name
一丢丢陈醋,821,一丢丢陈醋,1,dish_ingredients.raw_name
一丢丢马苏里拉芝士,822,一丢丢马苏里拉芝士,1,dish_ingredients.raw_name
一丢丢鸡精,823,一丢丢鸡精,2,dish_ingredients.raw_name
一丢丢黑胡椒,824,一丢丢黑胡椒,2,dish_ingredients.raw_name
一丢丢黑胡椒粉,825,一丢丢黑胡椒粉,1,dish_ingredients.raw_name
一两粉丝,826,一两粉丝,1,dish_ingredients.raw_name
一两茶树菇,827,一两茶树菇,1,dish_ingredients.raw_name
一两香菜,828,一两香菜,1,dish_ingredients.raw_name
一中碗米饭,829,一中碗米饭,1,dish_ingredients.raw_name
一些些白胡椒,1389,些白胡椒,1,dish_ingredients.raw_name
一些克盐,1539,克盐,1,dish_ingredients.raw_name
一些剩下鸡,1847,剩下鸡,1,dish_ingredients.raw_name
一些料酒,3600,料酒,1,dish_ingredients.raw_name
一些木耳,33,木耳,1,dish_ingredients.raw_name
一些水淀粉,4051,水淀粉,1,dish_ingredients.raw_name
一些油菜,44,油菜,1,dish_ingredients.raw_name
一些生抽,4928,生抽,1,dish_ingredients.raw_name
一些瘦肉丁,5015,瘦肉丁,1,dish_ingredients.raw_name
一些白萝卜,63,白萝卜,1,dish_ingredients.raw_name
一些盐,5134,盐,1,dish_ingredients.raw_name
一些糖,5489,糖,1,dish_ingredients.raw_name
一些耗油,6588,蚝油,1,dish_ingredients.raw_name
一些胡萝卜丁,6,胡萝卜,1,dish_ingredients.raw_name
一些葱姜蒜,6329,葱姜蒜,1,dish_ingredients.raw_name
一些薄荷或紫苏,6523,薄荷或紫苏,1,dish_ingredients.raw_name
一些虾皮,6573,虾皮,1,dish_ingredients.raw_name
一些蜂蜜,6621,蜂蜜,1,dish_ingredients.raw_name
一些辣椒面,6919,辣椒面,1,dish_ingredients.raw_name
一些食油,7467,食用油,1,dish_ingredients.raw_name
一些黄花菜,153,黄花菜,1,dish_ingredients.raw_name
一冬笋,830,一冬笋,1,dish_ingredients.raw_name
一刀尖白胡椒粉,831,一刀尖白胡椒粉,1,dish_ingredients.raw_name
一切二茼蒿/皇帝菜,832,一切二茼蒿/皇帝菜,1,dish_ingredients.raw_name
一勺蚝油,833,一勺蚝油,1,dish_ingredients.raw_name
一匙剁椒,834,一匙剁椒,1,dish_ingredients.raw_name
一匙料酒,835,一匙料酒,1,dish_ingredients.raw_name
一匙生抽,836,一匙生抽,3,dish_ingredients.raw_name
一匙白糖,837,一匙白糖,1,dish_ingredients.raw_name
一匙白醋,838,一匙白醋,1,dish_ingredients.raw_name
一匙盐,839,一匙盐,2,dish_ingredients.raw_name
一匙糖,840,一匙糖,1,dish_ingredients.raw_name
一匙老抽,841,一匙老抽,1,dish_ingredients.raw_name
一匙蚝油,842,一匙蚝油,1,dish_ingredients.raw_name
一匙香油,843,一匙香油,1,dish_ingredients.raw_name
一匙黑胡椒汁,844,一匙黑胡椒汁,1,dish_ingredients.raw_name
一半圆南瓜,845,一半圆南瓜,1,dish_ingredients.raw_name
一半洋葱,846,一半洋葱,1,dish_ingredients.raw_name
一半火锅底料,847,一半火锅底料,1,dish_ingredients.raw_name
一半白菜,29,白菜,1,dish_ingredients.raw_name
一半蒜,2,蒜,1,dish_ingredients.raw_name
一半金针菇,46,金针菇,1,dish_ingredients.raw_name
一半鸡肉,848,一半鸡肉,1,dish_ingredients.raw_name
一口黄酒,849,一口黄酒,1,dish_ingredients.raw_name
一叶白菜白菜,850,一叶白菜白菜,1,dish_ingredients.raw_name
一品鲜,851,一品鲜,3,dish_ingredients.raw_name
一品鲜生抽,852,一品鲜生抽,1,dish_ingredients.raw_name
一品鲜酱油,853,一品鲜酱油,5,dish_ingredients.raw_name
一圈料酒,854,一圈料酒,1,dish_ingredients.raw_name
一圈生抽,855,一圈生抽,1,dish_ingredients.raw_name
一土豆,856,一土豆,1,dish_ingredients.raw_name
一堆香菇,857,一堆香菇,1,dish_ingredients.raw_name
一壶开水,858,一壶开水,2,dish_ingredients.raw_name
一大份拆骨肉,859,一大份拆骨肉,1,dish_ingredients.raw_name
一大半蒜瓣蒜头,860,一大半蒜瓣蒜头,1,dish_ingredients.raw_name
