id,name,usage_count,reason
317,蟹棒,25,成品、半成品或加工食品
318,配方奶,25,饮料、酒类或乳制品不属于本版核心原生食材
319,酸笋,25,成品、半成品或加工食品
320,千张,25,豆制品或淀粉制品（严格模式排除）
321,覆盆子,25,不属于指南允许的基础原生食材类别
322,莳萝,25,不属于指南允许的基础原生食材类别
323,淮山,24,不属于指南允许的基础原生食材类别
324,老酸奶,24,饮料、酒类或乳制品不属于本版核心原生食材
325,天然酵种,24,不属于指南允许的基础原生食材类别
326,车厘子,24,不属于指南允许的基础原生食材类别
327,泡辣椒,24,成品、半成品或加工食品
328,干虾仁,24,成品、半成品或加工食品
329,速冻饺子,24,成品、半成品或加工食品
330,芡实,24,不属于指南允许的基础原生食材类别
331,山奈,24,不属于指南允许的基础原生食材类别
332,宽粉,24,不属于指南允许的基础原生食材类别
333,松饼粉,24,不属于指南允许的基础原生食材类别
334,奇异果,24,不属于指南允许的基础原生食材类别
335,当归,24,不属于指南允许的基础原生食材类别
336,奶油霜,24,烘焙或乳制加工食品
337,伯爵红茶,24,饮料、酒类或乳制品不属于本版核心原生食材
338,金桔,23,不属于指南允许的基础原生食材类别
339,太白粉,23,不属于指南允许的基础原生食材类别
340,熟米饭,23,成品、半成品或加工食品
341,芽菜,23,成品、半成品或加工食品
342,糯米饭,23,成品、半成品或加工食品
343,热狗肠,23,成品、半成品或加工食品
344,预拌粉,23,不属于指南允许的基础原生食材类别
345,替代,23,不属于指南允许的基础原生食材类别
346,植物奶,23,饮料、酒类或乳制品不属于本版核心原生食材
347,沙拉菜,23,成品、半成品或加工食品
348,东西,23,不属于指南允许的基础原生食材类别
349,更好,23,不属于指南允许的基础原生食材类别
350,熟花生米,23,成品、半成品或加工食品
351,熟黄豆粉,23,成品、半成品或加工食品
352,浓缩咖啡,23,饮料、酒类或乳制品不属于本版核心原生食材
353,水饴,23,不属于指南允许的基础原生食材类别
354,卤水,23,不属于指南允许的基础原生食材类别
355,巧克力甘纳许,23,烘焙或乳制加工食品
356,手抓饼,23,不属于指南允许的基础原生食材类别
357,罗汉果,23,不属于指南允许的基础原生食材类别
358,美极鲜,23,不属于指南允许的基础原生食材类别
359,杂粮饭,23,不属于指南允许的基础原生食材类别
360,白芷,23,不属于指南允许的基础原生食材类别
361,克面粉,23,成品、半成品或加工食品
362,椰蓉馅,23,不属于指南允许的基础原生食材类别
363,蛋糕体,23,烘焙或乳制加工食品
364,消化饼,23,不属于指南允许的基础原生食材类别
365,熟牛肉,23,成品、半成品或加工食品
366,车打芝士,23,烘焙或乳制加工食品
367,果蔬,23,不属于指南允许的基础原生食材类别
368,烤肠,22,成品、半成品或加工食品
369,肉肠,22,成品、半成品或加工食品
370,墨鱼丸,22,成品、半成品或加工食品
371,鱼干,22,成品、半成品或加工食品
372,鱿鱼干,22,成品、半成品或加工食品
373,提子,22,不属于指南允许的基础原生食材类别
374,豆泡,22,成品、半成品或加工食品
375,柚子皮,22,不属于指南允许的基础原生食材类别
376,戚风,22,不属于指南允许的基础原生食材类别
377,糟辣椒,22,成品、半成品或加工食品
378,牛奶牛奶,22,饮料、酒类或乳制品不属于本版核心原生食材
379,麻辣香锅料,22,不属于指南允许的基础原生食材类别
380,每日坚果,22,成品、半成品或加工食品
381,酸辣椒,22,成品、半成品或加工食品
382,奶酪碎,22,烘焙或乳制加工食品
383,千层酥皮,22,不属于指南允许的基础原生食材类别
384,茉莉绿茶,22,饮料、酒类或乳制品不属于本版核心原生食材
385,乳酸菌,22,成品、半成品或加工食品
386,奶黄馅,22,不属于指南允许的基础原生食材类别
387,海底椰,22,不属于指南允许的基础原生食材类别
388,烟熏三文鱼,21,成品、半成品或加工食品
389,红茶粉,21,不属于指南允许的基础原生食材类别
390,全麦面包粉,21,烘焙或乳制加工食品
391,麻辣鲜,21,不属于指南允许的基础原生食材类别
392,披萨饼底,21,成品、半成品或加工食品
393,剩菜,21,成品、半成品或加工食品
394,新鲜水果,21,不属于指南允许的基础原生食材类别
395,黄桃罐头,21,成品、半成品或加工食品
396,贝果,21,成品、半成品或加工食品
397,之类,21,不属于指南允许的基础原生食材类别
398,香草籽,21,成品、半成品或加工食品
399,所需食材,21,不属于指南允许的基础原生食材类别
400,油炸花生米,21,成品、半成品或加工食品
401,龙骨,21,不属于指南允许的基础原生食材类别
402,饼干底,21,烘焙或乳制加工食品
403,椰子面粉,21,成品、半成品或加工食品
404,大米粉,21,成品、半成品或加工食品
405,甘草,21,不属于指南允许的基础原生食材类别
406,玉米面粉,21,成品、半成品或加工食品
407,面皮,21,不属于指南允许的基础原生食材类别
408,橙皮屑,21,不属于指南允许的基础原生食材类别
409,谷物,21,不属于指南允许的基础原生食材类别
410,白莲,21,不属于指南允许的基础原生食材类别
411,水果燕麦,21,成品、半成品或加工食品
412,黑白淡奶,20,饮料、酒类或乳制品不属于本版核心原生食材
413,白凉粉,20,不属于指南允许的基础原生食材类别
414,黑巧克力豆,20,烘焙或乳制加工食品
415,耐烤巧克力豆,20,烘焙或乳制加工食品
416,莲蓉,20,不属于指南允许的基础原生食材类别
417,蔬之鲜,20,不属于指南允许的基础原生食材类别
418,龟苓膏,20,不属于指南允许的基础原生食材类别
419,艾叶,20,不属于指南允许的基础原生食材类别
420,棒骨,20,不属于指南允许的基础原生食材类别
421,其他香料,20,不属于指南允许的基础原生食材类别
422,猪肉丸,20,成品、半成品或加工食品
423,食谱,20,不属于指南允许的基础原生食材类别
424,一起,20,不属于指南允许的基础原生食材类别
425,镜面果胶,20,成品、半成品或加工食品
426,味醂,20,不属于指南允许的基础原生食材类别
427,水饺,20,不属于指南允许的基础原生食材类别
428,小麦面粉,20,成品、半成品或加工食品
429,奶酪丝,20,烘焙或乳制加工食品
430,油酥,20,不属于指南允许的基础原生食材类别
431,分割线,20,不属于指南允许的基础原生食材类别
432,红泡椒,20,成品、半成品或加工食品
433,干粉,20,不属于指南允许的基础原生食材类别
434,薄脆,20,不属于指南允许的基础原生食材类别
435,车达芝士,20,烘焙或乳制加工食品
436,熟肉,20,成品、半成品或加工食品
437,细粉,20,不属于指南允许的基础原生食材类别
438,快熟燕麦,20,成品、半成品或加工食品
439,味素,19,不属于指南允许的基础原生食材类别
440,日本豆腐,19,豆制品或淀粉制品（严格模式排除）
441,广味香肠,19,加工肉制品
442,骨头汤,19,不属于指南允许的基础原生食材类别
443,奥尔良粉,19,不属于指南允许的基础原生食材类别
444,就好水,19,不属于指南允许的基础原生食材类别
445,面粉面粉,19,成品、半成品或加工食品
446,时令水果,19,不属于指南允许的基础原生食材类别
447,熏肉,19,加工肉制品
448,粉皮,19,豆制品或淀粉制品（严格模式排除）
449,卤水豆腐,19,豆制品或淀粉制品（严格模式排除）
450,燕窝,19,不属于指南允许的基础原生食材类别
451,豆芽菜,19,成品、半成品或加工食品
452,海苔粉,19,成品、半成品或加工食品
453,巧克力笔,19,烘焙或乳制加工食品
454,榨汁机,19,不属于指南允许的基础原生食材类别
455,水量水,19,不属于指南允许的基础原生食材类别
456,虾皮粉,19,成品、半成品或加工食品
457,莲蓉馅,19,不属于指南允许的基础原生食材类别
458,黑咖啡,19,饮料、酒类或乳制品不属于本版核心原生食材
459,咸鸭蛋黄,19,成品、半成品或加工食品
460,奶油馅,19,烘焙或乳制加工食品
461,绿色,19,不属于指南允许的基础原生食材类别
462,曲奇,19,成品、半成品或加工食品
463,苦菊,18,不属于指南允许的基础原生食材类别
464,酒曲,18,不属于指南允许的基础原生食材类别
465,臭豆腐,18,豆制品或淀粉制品（严格模式排除）
466,雪燕,18,不属于指南允许的基础原生食材类别
467,奶酪粉,18,烘焙或乳制加工食品
468,叉烧,18,加工肉制品
469,戚风蛋糕底,18,烘焙或乳制加工食品
470,戚风蛋糕坯,18,烘焙或乳制加工食品
471,耐高温巧克力豆,18,烘焙或乳制加工食品
472,巧克力淋面,18,烘焙或乳制加工食品
473,芝士蛋糕,18,烘焙或乳制加工食品
474,味达美,18,不属于指南允许的基础原生食材类别
475,甜酒酿,18,不属于指南允许的基础原生食材类别
476,金不换,18,不属于指南允许的基础原生食材类别
477,水怡,18,不属于指南允许的基础原生食材类别
478,藏红花,18,不属于指南允许的基础原生食材类别
479,热开水,18,不属于指南允许的基础原生食材类别
480,冰牛奶,18,饮料、酒类或乳制品不属于本版核心原生食材
481,味啉,18,不属于指南允许的基础原生食材类别
482,筷子,18,不属于指南允许的基础原生食材类别
483,棉线,18,不属于指南允许的基础原生食材类别
484,芝士奶酪,18,烘焙或乳制加工食品
485,干茅根,18,不属于指南允许的基础原生食材类别
486,豆浆粉,18,成品、半成品或加工食品
487,波兰种,18,不属于指南允许的基础原生食材类别
488,月饼馅,18,成品、半成品或加工食品
489,果冻,18,不属于指南允许的基础原生食材类别
490,蛋糕坯,18,烘焙或乳制加工食品
491,苦甜巧克力,18,烘焙或乳制加工食品
492,凉粉,17,不属于指南允许的基础原生食材类别
493,素鸡,17,成品、半成品或加工食品
494,莲花白,17,不属于指南允许的基础原生食材类别
495,杂粮米饭,17,成品、半成品或加工食品
496,韩式泡菜,17,成品、半成品或加工食品
497,话梅,17,不属于指南允许的基础原生食材类别
498,速冻水饺,17,不属于指南允许的基础原生食材类别
499,寿司海苔,17,成品、半成品或加工食品
500,洋车前子壳粉,17,不属于指南允许的基础原生食材类别
501,酸奶发酵菌,17,饮料、酒类或乳制品不属于本版核心原生食材
502,蔬菜沙拉,17,成品、半成品或加工食品
503,意式浓缩咖啡,17,饮料、酒类或乳制品不属于本版核心原生食材
504,一下,17,不属于指南允许的基础原生食材类别
505,骨汤,17,不属于指南允许的基础原生食材类别
506,戚风蛋糕体,17,烘焙或乳制加工食品
507,汽水,17,饮料、酒类或乳制品不属于本版核心原生食材
508,圆子,17,不属于指南允许的基础原生食材类别
509,红皮花生,17,不属于指南允许的基础原生食材类别
510,火腿切片,17,加工肉制品
511,芝麻汤圆,17,不属于指南允许的基础原生食材类别
512,培根肉,17,加工肉制品
513,酸奶酸奶,17,饮料、酒类或乳制品不属于本版核心原生食材
514,蛋糕预拌粉,17,烘焙或乳制加工食品
515,山羊奶酪,17,烘焙或乳制加工食品
516,一次性手套,17,不属于指南允许的基础原生食材类别
517,半斤,17,数量或单位残留且无法可靠恢复原食材
518,配比,17,不属于指南允许的基础原生食材类别
519,多少面粉,17,成品、半成品或加工食品
520,中筋,17,不属于指南允许的基础原生食材类别
521,手抓饼皮,17,不属于指南允许的基础原生食材类别
522,三明治,17,不属于指南允许的基础原生食材类别
523,红丝绒液,17,不属于指南允许的基础原生食材类别
524,绢豆腐,17,豆制品或淀粉制品（严格模式排除）
525,汉堡胚,17,成品、半成品或加工食品
526,熟透香蕉,17,成品、半成品或加工食品
527,泼辣子,17,不属于指南允许的基础原生食材类别
528,羊奶,17,饮料、酒类或乳制品不属于本版核心原生食材
529,香草冰淇淋,17,成品、半成品或加工食品
530,泡椒水,17,成品、半成品或加工食品
531,刷表面,17,工具、包装或操作说明
532,内酯,17,不属于指南允许的基础原生食材类别
533,面包机,17,烘焙或乳制加工食品
