dish_id,ingredient_id,source_ingredient_id,match_type
3218,2,2,direct
3218,7,7,direct
3218,11,11,direct
3218,14,14,direct
3257,7,7,direct
3257,337,337,direct
3258,3,3,direct
3258,11,11,direct
3258,23,23,direct
3258,24,589,ancestor
3258,49,49,direct
3258,589,589,direct
3273,7,7,direct
3273,145,145,direct
3337,2,2,direct
3337,3,3,direct
3337,11,11,direct
3337,18,18,direct
3337,340,340,direct
3371,2,2,direct
3371,11,11,direct
3371,243,243,direct
3378,1,1,split
3378,3,3,split
3378,4,37,ancestor
3378,37,37,direct
3378,151,151,direct
3383,2,2,direct
3383,6,6,direct
3383,15,15,direct
3383,24,15,ancestor
3383,50,50,direct
3383,84,84,direct
3468,1,1,direct
3468,2,2,direct
3468,3,3,direct
3468,9,9,direct
3468,16,16,direct
3468,79,79,direct
3516,12,12,direct
3516,24,24,direct
3516,93,93,direct
3521,1,1,direct
3521,23,23,direct
3560,2,2,direct
3560,3,3,direct
3560,14,14,direct
3579,1,1,direct
3579,3,3,direct
3585,1,1,direct
3585,2,2,direct
3585,11,11,direct
3609,2,2,direct
3609,8,8,direct
3609,81,81,direct
3633,24,71,ancestor
3633,71,71,direct
3645,4,4,direct
3645,20,20,direct
3645,151,151,direct
3649,1,1,direct
3649,2,2,direct
3649,4,4,direct
3649,7,7,direct
3649,76,76,direct
3653,3,3,direct
3653,11,11,direct
3653,49,49,direct
3653,326,326,direct
3684,2,2,direct
3684,18,18,direct
3684,59,59,direct
3702,20,20,direct
3733,61,61,direct
3733,265,265,direct
3750,6,6,direct
3750,65,65,direct
3750,97,97,direct
3757,6,6,direct
3757,145,145,direct
3761,2,2,direct
3761,5,5,direct
3761,11,11,direct
3761,12,12,direct
3771,2,2,direct
3771,7,7,direct
3771,19,19,direct
3782,3,3,direct
3782,115,115,direct
3786,2,2,direct
3786,44,44,direct
3789,12,12,direct
3800,2,2,direct
3800,110,110,direct
3811,2,2,direct
3856,1,1,direct
3856,2,2,direct
3856,3,3,direct
3856,5,5,direct
3856,6,6,direct
3856,8,82,ancestor
3856,12,12,direct
3856,14,14,direct
3856,82,82,direct
3877,1,1,direct
3877,2,2,direct
3877,3,3,direct
3877,4,10,ancestor
3877,10,10,direct
3877,46,46,direct
3891,3,3,direct
3891,11,11,direct
3891,115,115,direct
3891,322,322,direct
3922,5,5,direct
3922,6,6,direct
3922,8,8,direct
3922,9,9,direct
3922,14,14,direct
3922,103,103,direct
3952,7,7,direct
3952,103,103,direct
3952,231,231,direct
4032,1,1,direct
4032,2,2,direct
4032,18,18,direct
4032,46,46,direct
4052,4,4,direct
4052,7,7,direct
4052,67,67,direct
4062,2,2,direct
4062,198,198,direct
4069,2,2,direct
4069,3,3,direct
4069,33,33,direct
4069,50,50,direct
4069,138,138,direct
4069,178,178,direct
4070,1,1,direct
4070,12,12,direct
